h3,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
891e0669053ffff,0,0,0,0,0,0,0,0,0,0
891e066905bffff,0,0,0,0,0,0,0,0,0,0
891e0669203ffff,0,0,0,0,0,0,0,0,0,0
891e0669207ffff,0,0,0,0,0,0,0,0,0,0
891e066920bffff,0,0,0,0,0,0,0,0,0,0
891e066920fffff,0,0,0,0,0,0,0,0,0,0
891e0669213ffff,0,0,0,0,0,0,0,0,0,0
891e0669217ffff,0,0,0,0,0,0,0,0,0,0
891e066921bffff,0,0,0,0,0,0,0,0,0,0
891e066922bffff,0,0,0,0,0,0,0,0,0,0
891e0669233ffff,0,0,0,0,0,0,0,0,0,0
891e066923bffff,0,0,0,0,0,0,0,0,0,0
891e0669243ffff,0,0,0,0,0,0,0,0,0,0
891e0669247ffff,0,0,0,0,0,0,0,0,0,0
891e0669253ffff,0,0,0,0,0,0,0,0,0,0
891e0669257ffff,0,0,0,0,0,0,0,0,0,0
891e0669263ffff,0,0,0,0,0,0,0,0,0,0
891e0669267ffff,0,0,0,0,0,0,0,0,0,0
891e0669273ffff,0,0,0,0,0,0,0,0,0,0
891e0669277ffff,0,0,0,0,0,0,0,0,0,0
891e0669283ffff,0,0,0,0,0,0,0,0,0,0
891e0669287ffff,0,0,0,0,0,0,0,0,0,0
891e066928bffff,0,0,0,0,0,0,0,0,0,0
891e066928fffff,0,0,0,0,0,0,0,0,0,0
891e0669293ffff,0,0,0,0,0,0,0,0,0,0
891e0669297ffff,0,0,0,0,0,0,0,0,0,0
891e066929bffff,0,0,0,0,0,0,0,0,0,0
891e06692a3ffff,0,0,0,0,0,0,0,0,0,0
891e06692abffff,0,0,0,0,0,0,0,0,0,0
891e06692b3ffff,0,0,0,0,0,0,0,0,0,0
891e06692bbffff,0,0,0,0,0,0,0,0,0,0
891e06692c3ffff,0,0,0,0,0,0,0,0,0,0
891e06692c7ffff,0,0,0,0,0,0,0,0,0,0
891e06692cbffff,0,0,0,0,0,0,0,0,0,0
891e06692cfffff,0,0,0,0,0,0,0,0,0,0
891e06692d3ffff,0,0,0,0,0,0,0,0,0,0
891e06692d7ffff,0,0,0,0,0,0,0,0,0,0
891e06692dbffff,0,0,0,0,0,0,0,0,0,0
891e0669603ffff,0,0,0,0,0,0,0,0,0,0
891e0669607ffff,0,0,0,0,0,0,0,0,0,0
891e066960bffff,0,0,0,0,0,0,0,0,0,0
891e066960fffff,0,0,0,0,0,0,0,0,0,0
891e0669613ffff,0,0,0,0,0,0,0,0,0,0
891e066961bffff,0,0,0,0,0,0,0,0,0,0
891e0669627ffff,0,0,0,0,0,0,0,0,0,0
891e066962bffff,0,0,0,0,0,0,0,0,0,0
891e066962fffff,0,0,0,0,0,0,0,0,0,0
891e066963bffff,0,0,0,0,0,0,0,0,0,0
891e0669643ffff,0,0,0,0,0,0,0,0,0,0
891e0669647ffff,0,0,0,0,0,0,0,0,0,0
891e066964bffff,0,0,0,0,0,0,0,0,0,0
891e066964fffff,0,0,0,0,0,0,0,0,0,0
891e0669653ffff,0,0,0,0,0,0,0,0,0,0
891e0669657ffff,0,0,0,0,0,0,0,0,0,0
891e066965bffff,0,0,0,0,0,0,0,0,0,0
891e0669663ffff,0,0,0,0,0,0,0,0,0,0
891e0669667ffff,0,0,0,0,0,0,0,0,0,0
891e066966bffff,0,0,0,0,0,0,0,0,0,0
891e066966fffff,0,0,0,0,0,0,0,0,0,0
891e0669673ffff,0,0,0,0,0,0,0,0,0,0
891e0669677ffff,0,0,0,0,0,0,0,0,0,0
891e066967bffff,0,0,0,0,0,0,0,0,0,0
891e066968bffff,0,0,0,0,0,0,0,0,0,0
891e0669693ffff,0,0,0,0,0,0,0,0,0,0
891e0669697ffff,0,0,0,0,0,0,0,0,0,0
891e066969bffff,0,0,0,0,0,0,0,0,0,0
891e06696c3ffff,0,0,0,0,0,0,0,0,0,0
891e06696c7ffff,0,0,0,0,0,0,0,0,0,0
891e06696cbffff,0,0,0,0,0,0,0,0,0,0
891e06696cfffff,0,0,0,0,0,0,0,0,0,0
891e06696d3ffff,0,0,0,0,0,0,0,0,0,0
891e06696d7ffff,0,0,0,0,0,0,0,0,0,0
891e06696dbffff,0,0,0,0,0,0,0,0,0,0
891e066b243ffff,0,0,0,0,0,0,0,0,0,0
891e066b24bffff,0,0,0,0,0,0,0,0,0,0
891e066b24fffff,0,0,0,0,0,0,0,0,0,0
891e066b253ffff,0,0,0,0,0,0,0,0,0,0
891e066b25bffff,0,0,0,0,0,0,0,0,0,0
891e066b2c3ffff,0,0,0,0,0,0,0,0,0,0
891e066b2cbffff,0,0,0,0,0,0,0,0,0,0
891e066b2d3ffff,0,0,0,0,0,0,0,0,0,0
891e066b2d7ffff,0,0,0,0,0,0,0,0,0,0
891e066b2dbffff,0,0,0,0,0,0,0,0,0,0
891e066b403ffff,0,0,0,0,0,0,0,0,0,0
891e066b40bffff,0,0,0,0,0,0,0,0,0,0
891e066b40fffff,0,0,0,0,0,0,0,0,0,0
891e066b413ffff,0,6,12,13,14,13,0,0,0,0
891e066b41bffff,0,0,0,0,0,0,0,0,0,0
891e066b443ffff,1,0,0,0,0,0,0,0,0,0
891e066b447ffff,0,0,0,0,0,0,0,0,0,0
891e066b44bffff,0,0,0,0,0,1,0,0,0,0
891e066b44fffff,0,0,0,0,0,0,0,0,0,0
891e066b453ffff,0,0,0,0,0,0,0,0,0,0
891e066b457ffff,0,0,0,0,0,0,0,0,0,0
